"","author","year","gender"
"1","Ming-Feng Hsieh",2011,"M"
"2","Fuhito Kojima",2011,"M"
"3","V. Kerry Smith",2011,"M"
"4","Rudiger Fahlenbrach",2011,"M"
"5","Zinat S. Alam",2011,"F"
"6","V. Ravi Anshuman",2011,"M"
"7","Kuntara Pukthuanthong",2011,"F"
"8","P. Jean-Jacques Herings",2011,"M"
"9","Raford Body",2011,"M"
"10","Erdogan Bakir",2011,"M"
"11","Armağan Gezici",2011,"M"
"12","Rojhat B. Avsar",2011,"M"
"13","Luis Locay",2011,"M"
"14","Tanju Yorulmazer",2011,"M"
"15","Stergios Skaperdas",2011,"M"
"16","University of Missouri-Kansas City",2011,"?"
"17","Bingxin Yu",2011,"F"
"18","Liangzhi You",2011,"M"
"19","Yinghua Li",2011,"F"
"20","Chuan-Yang Hwang",2011,"M"
"21","Gara M. Afonso",2011,"F"
"22","Victor Zhorin",2011,"M"
"23","Chunlin Liu",2011,"M"
"24","Cédric Tille",2011,"M"
"25","Erling Steigum",2011,"M"
"26","Paavo Monkkonen",2011,"M"
"27","Almos Telegdy",2011,"M"
"28","Miguel Fuentes",2011,"M"
"29","Thesia I. Garner",2011,"F"
"30","Xudong An",2011,"M"
"31","Bakhrom Mirkasimov",2011,"M"
"32","Nurgul Ukueva",2011,"F"
"33","Xuepeng Liu",2011,"M"
"34","Jinhyun Lee",2011,"M"
"35","Kaustav Misra",2011,"M"
"36","Tithi Chattopadhyay",2011,"F"
"37","Xuguang Sheng",2011,"M"
"38","Shincihi Sakata",2011,"M"
"39","İsmail H. Genc",2011,"M"
"40","Yuemei Ji",2011,"F"
"41","R.J. Briggs",2011,"M"
"42","Andres Aradillas-Lopez",2011,"M"
"43","Norihiko Yamano",2011,"M"
"44","Xianwen Shi",2011,"M"
"45","Tiemei Li",2011,"F"
"46","Balázs Égert",2011,"M"
"47","Subal C. Kumbhakar",2011,"M"
"48","Suyong Song",2011,"M"
"49","Halbert White",2011,"M"
"50","Narly Dwarkasing",2011,"F"
"51","Davig Troy",2011,"M"
"52","Mou Yigun",2011,"M"
"53","Zhiyi Qian",2011,"??"
"54","Gérard Roland",2011,"M"
